SubID	Block	SearchType	Feature	MotionPresent	GroupMotion	Trial	SetSize	TargetPresent	Accuracy	RTms
8888	3	conjunction	luminance	Motion	none	40	7	1	1	774
8888	3	conjunction	luminance	Motion	none	41	1	1	1	492
8888	3	conjunction	luminance	Motion	none	42	9	0	1	877
8888	3	conjunction	luminance	Motion	none	43	3	1	1	927
8888	3	conjunction	luminance	Motion	none	44	5	0	1	850
8888	3	conjunction	luminance	Motion	none	45	11	1	1	1364
8888	3	conjunction	luminance	Motion	none	46	1	1	1	788
8888	3	conjunction	luminance	Motion	none	47	5	0	1	1113
8888	3	conjunction	luminance	Motion	none	48	9	1	1	1173
8888	4	conjunction	luminance	Motion	none	1	7	0	1	1555
8888	4	conjunction	luminance	Motion	none	2	1	1	1	830
8888	4	conjunction	luminance	Motion	none	3	5	0	1	713
8888	4	conjunction	luminance	Motion	none	4	9	0	1	1205
8888	4	conjunction	luminance	Motion	none	5	9	1	1	1254
8888	4	conjunction	luminance	Motion	none	6	3	0	1	691
8888	4	conjunction	luminance	Motion	none	7	11	1	1	856
8888	4	conjunction	luminance	Motion	none	8	1	1	1	565
8888	4	conjunction	luminance	Motion	none	9	5	0	1	729
8888	4	conjunction	luminance	Motion	none	10	3	0	1	720
8888	4	conjunction	luminance	Motion	none	11	5	0	1	829
8888	4	conjunction	luminance	Motion	none	12	7	1	1	1061
8888	4	conjunction	luminance	Motion	none	13	1	0	1	1017
8888	4	conjunction	luminance	Motion	none	14	3	1	1	883
8888	4	conjunction	luminance	Motion	none	15	1	1	1	490
8888	4	conjunction	luminance	Motion	none	16	3	1	1	1275
8888	4	conjunction	luminance	Motion	none	17	1	0	1	867
8888	4	conjunction	luminance	Motion	none	18	7	1	0	1247
8888	4	conjunction	luminance	Motion	none	19	9	1	1	822
8888	4	conjunction	luminance	Motion	none	20	1	1	1	621
8888	4	conjunction	luminance	Motion	none	21	5	0	1	777
8888	4	conjunction	luminance	Motion	none	22	7	0	1	812
8888	4	conjunction	luminance	Motion	none	23	9	1	1	1520
8888	4	conjunction	luminance	Motion	none	24	7	1	1	668
8888	4	conjunction	luminance	Motion	none	25	9	0	1	710
8888	4	conjunction	luminance	Motion	none	26	3	0	1	709
8888	4	conjunction	luminance	Motion	none	27	3	1	1	565
8888	4	conjunction	luminance	Motion	none	28	7	1	1	1046
8888	4	conjunction	luminance	Motion	none	29	5	1	1	738
8888	4	conjunction	luminance	Motion	none	30	11	0	1	1269
8888	4	conjunction	luminance	Motion	none	31	5	1	1	828
8888	4	conjunction	luminance	Motion	none	32	9	0	1	794
8888	4	conjunction	luminance	Motion	none	33	11	1	1	1135
8888	4	conjunction	luminance	Motion	none	34	1	0	0	699
8888	4	conjunction	luminance	Motion	none	35	5	1	1	1290
8888	4	conjunction	luminance	Motion	none	36	9	0	1	1191
8888	4	conjunction	luminance	Motion	none	37	11	0	1	765
8888	4	conjunction	luminance	Motion	none	38	1	0	0	945
8888	4	conjunction	luminance	Motion	none	39	11	1	1	1036
8888	4	conjunction	luminance	Motion	none	40	11	1	1	735
8888	4	conjunction	luminance	Motion	none	41	7	0	1	760
8888	4	conjunction	luminance	Motion	none	42	11	0	1	1176
8888	4	conjunction	luminance	Motion	none	43	3	1	1	734
8888	4	conjunction	luminance	Motion	none	44	11	0	1	865
8888	4	conjunction	luminance	Motion	none	45	5	1	1	624
8888	4	conjunction	luminance	Motion	none	46	9	1	1	672
8888	4	conjunction	luminance	Motion	none	47	3	0	1	664
8888	4	conjunction	luminance	Motion	none	48	7	0	1	910
