SubID	Block	SearchType	Feature	MotionPresent	GroupMotion	Trial	SetSize	TargetPresent	Accuracy	RTms
9998	1	conjunction	shape	Motion	none	69	1	1	1	565
9998	1	conjunction	shape	Motion	none	70	3	0	1	534
9998	1	conjunction	shape	Motion	none	71	7	0	1	737
9998	1	conjunction	shape	Motion	none	72	11	1	0	607
9998	2	conjunction	shape	Motion	none	1	7	1	1	772
9998	2	conjunction	shape	Motion	none	2	11	0	1	1191
9998	2	conjunction	shape	Motion	none	3	3	1	1	560
9998	2	conjunction	shape	Motion	none	4	7	0	1	596
9998	2	conjunction	shape	Motion	none	5	11	1	1	548
9998	2	conjunction	shape	Motion	none	6	7	1	1	685
9998	2	conjunction	shape	Motion	none	7	1	1	1	370
9998	2	conjunction	shape	Motion	none	8	9	0	1	874
9998	2	conjunction	shape	Motion	none	9	9	0	1	926
9998	2	conjunction	shape	Motion	none	10	1	1	1	529
9998	2	conjunction	shape	Motion	none	11	1	0	1	515
9998	2	conjunction	shape	Motion	none	12	11	1	1	651
9998	2	conjunction	shape	Motion	none	13	5	1	1	503
9998	2	conjunction	shape	Motion	none	14	5	0	1	923
9998	2	conjunction	shape	Motion	none	15	1	0	1	410
9998	2	conjunction	shape	Motion	none	16	7	0	1	630
9998	2	conjunction	shape	Motion	none	17	3	1	1	649
9998	2	conjunction	shape	Motion	none	18	1	1	1	752
9998	2	conjunction	shape	Motion	none	19	5	0	1	638
9998	2	conjunction	shape	Motion	none	20	7	0	1	741
9998	2	conjunction	shape	Motion	none	21	5	0	1	510
9998	2	conjunction	shape	Motion	none	22	7	1	1	680
9998	2	conjunction	shape	Motion	none	23	7	1	1	617
9998	2	conjunction	shape	Motion	none	24	5	0	1	736
9998	2	conjunction	shape	Motion	none	25	5	0	1	622
9998	2	conjunction	shape	Motion	none	26	11	0	1	659
9998	2	conjunction	shape	Motion	none	27	11	1	1	595
9998	2	conjunction	shape	Motion	none	28	9	0	1	733
9998	2	conjunction	shape	Motion	none	29	9	1	0	852
9998	2	conjunction	shape	Motion	none	30	11	0	1	1039
9998	2	conjunction	shape	Motion	none	31	3	1	1	509
9998	2	conjunction	shape	Motion	none	32	3	1	1	645
9998	2	conjunction	shape	Motion	none	33	7	1	1	382
9998	2	conjunction	shape	Motion	none	34	5	0	0	435
9998	2	conjunction	shape	Motion	none	35	3	0	1	555
9998	2	conjunction	shape	Motion	none	36	9	0	1	892
9998	2	conjunction	shape	Motion	none	37	9	1	1	879
9998	2	conjunction	shape	Motion	none	38	11	0	1	832
9998	2	conjunction	shape	Motion	none	39	11	1	1	735
9998	2	conjunction	shape	Motion	none	40	3	0	1	655
9998	2	conjunction	shape	Motion	none	41	7	0	1	843
9998	2	conjunction	shape	Motion	none	42	1	1	1	495
9998	2	conjunction	shape	Motion	none	43	11	1	1	1216
9998	2	conjunction	shape	Motion	none	44	5	1	1	719
9998	2	conjunction	shape	Motion	none	45	9	0	1	788
9998	2	conjunction	shape	Motion	none	46	9	1	1	875
9998	2	conjunction	shape	Motion	none	47	5	1	1	645
9998	2	conjunction	shape	Motion	none	48	1	0	1	599
9998	2	conjunction	shape	Motion	none	49	9	1	1	585
9998	2	conjunction	shape	Motion	none	50	7	1	1	505
9998	2	conjunction	shape	Motion	none	51	5	1	0	508
9998	2	conjunction	shape	Motion	none	52	9	0	1	829
9998	2	conjunction	shape	Motion	none	53	3	1	1	449
9998	2	conjunction	shape	Motion	none	54	3	0	1	668
9998	2	conjunction	shape	Motion	none	55	7	0	1	1156
9998	2	conjunction	shape	Motion	none	56	5	1	1	726
9998	2	conjunction	shape	Motion	none	57	3	0	1	596
9998	2	conjunction	shape	Motion	none	58	11	0	1	1016
9998	2	conjunction	shape	Motion	none	59	1	1	1	569
9998	2	conjunction	shape	Motion	none	60	3	0	1	606
9998	2	conjunction	shape	Motion	none	61	5	1	1	559
9998	2	conjunction	shape	Motion	none	62	11	1	1	863
9998	2	conjunction	shape	Motion	none	63	3	0	1	566
9998	2	conjunction	shape	Motion	none	64	7	0	1	803
9998	2	conjunction	shape	Motion	none	65	3	1	1	689
9998	2	conjunction	shape	Motion	none	66	1	1	1	526
9998	2	conjunction	shape	Motion	none	67	11	0	1	879
9998	2	conjunction	shape	Motion	none	68	9	1	0	666
9998	2	conjunction	shape	Motion	none	69	9	1	1	1003
9998	2	conjunction	shape	Motion	none	70	1	0	1	690
9998	2	conjunction	shape	Motion	none	71	1	0	1	759
9998	2	conjunction	shape	Motion	none	72	1	0	1	613
9998	3	conjunction	shape	Motion	none	1	9	0	1	776
9998	3	conjunction	shape	Motion	none	2	7	0	1	763
9998	3	conjunction	shape	Motion	none	3	3	0	1	599
9998	3	conjunction	shape	Motion	none	4	5	1	0	536
9998	3	conjunction	shape	Motion	none	5	11	0	1	1207
9998	3	conjunction	shape	Motion	none	6	3	1	1	559
9998	3	conjunction	shape	Motion	none	7	9	1	1	662
9998	3	conjunction	shape	Motion	none	8	9	0	1	1316
9998	3	conjunction	shape	Motion	none	9	9	1	1	1086
9998	3	conjunction	shape	Motion	none	10	7	0	1	856
9998	3	conjunction	shape	Motion	none	11	1	1	1	509
9998	3	conjunction	shape	Motion	none	12	11	1	1	579
9998	3	conjunction	shape	Motion	none	13	5	0	1	716
9998	3	conjunction	shape	Motion	none	14	1	1	1	436
9998	3	conjunction	shape	Motion	none	15	9	0	1	856
9998	3	conjunction	shape	Motion	none	16	1	1	1	659
9998	3	conjunction	shape	Motion	none	17	11	0	1	829
9998	3	conjunction	shape	Motion	none	18	1	1	1	532
9998	3	conjunction	shape	Motion	none	19	3	1	1	502
9998	3	conjunction	shape	Motion	none	20	1	0	1	572
9998	3	conjunction	shape	Motion	none	21	3	0	1	592
9998	3	conjunction	shape	Motion	none	22	1	0	1	546
9998	3	conjunction	shape	Motion	none	23	7	1	1	516
9998	3	conjunction	shape	Motion	none	24	7	1	1	620
9998	3	conjunction	shape	Motion	none	25	9	1	1	790
